AM 08:30,剛起床－自家床上
nil,驚醒，總覺得心裡有些疙瘩，一種喘不過氣的感覺，我看了看鬧鐘，比表定時間還早了一個小時左右
nil,其實早這麼點的時間其實沒有什麼意義，去買個早餐然後去上課好了
nil,不過我完全知道我為什麼想要買早餐，想要再遇到女０，還錢　與攀談
nil,但這次的時間與昨天完全不同，遇到的機率是小之又小，不過就只是想要去看看
nil,刻意換上了比較乾淨的衣服以及刮好了鬍子，往早餐店邁進
nil,這個時間點的早餐店比較多人，老闆的手感覺停不下來，我還在思考著到底該內用還是外帶機率比較高時
nil,看見內用區坐著女０，戴著耳機吃著早餐，我向早餐店點了餐之後報上了她的桌號
nil,我怎麼敢？反正跟她話都講著麼開了，再開一點或許也沒有關係吧
nil,我拉了椅子坐了下來，思緒異常的沈穩，究竟是為什麼呢？
女０,咦！你怎麼在這邊？
我,我剛好來吃早餐，看到你在裡面就想說來還個錢
女０,沒有關係拉，我昨天也講了很傷人的話
我,不過你說的也是事實，誰長大之後不是對於其他人表面上平等
我,反正你昨天的話讓我思考了很多
女０,是嗎？這樣有讓我的罪惡感比較低了一些
女０,其實我看得出你今天不太一樣，整體有乾乾淨淨的感覺
nil,原來我的鬍子功效這麼大？！
我,是嗎？今天剛好是我的刮鬍子日
女０,還有良辰吉日噢，為什麼不天天都刮呢？
我,有點麻煩啊，還要特別花點時間什麼的
女０,我再給你一些建議好了，如果你不想要再像過去那樣被厭惡
女０,我覺得乾淨很重要，像你現在指甲長度就不ＯＫ，雖然說女生管很多
女０,但是就是覺得這些東西很重要，感覺你都不在乎你自己了，怎麼可能在乎其他人
我,真麻煩耶，是不是你要求太高啊，你有男朋友了嗎？
女０,還沒有拉，吃你的早餐拉
我,我的早餐又還沒有來
nil,說到著邊，老闆剛好把早餐放到我桌上，我今天還刻意指點一人份的早餐
女０,你看來了吧，你趕快吃一吃
我,其實也不是不在意自己，而是在想，我這麼做，又有誰會看到呢？
我,久而久之，就會完全放棄去理會，就會變成我現在這樣
女０,或許是相反的吧，你做了，才會有人去注意到
女０,你怎麼能夠知道今天會不會是遇到對的人的時候呢？當然要隨時做好準備啊
我,所以你才每天的做好準備嗎？
吳孟,你這是在讚美我嗎？
nil,之後就跟他隨便東扯西扯
nil,跟她聊天順暢的感覺，就好像認識了許久，這讓我思考著以後看到女生是不是都該先吵一下架或者是鬧翻之類的
nil,我知道我與她不可能有接下去的發展，不過又如何，有一個如此美麗的朋友多好
nil,還可以趁機多學幾招，再這樣了解下去，搞不好我離開單身的日子是指日可待
nil,我帶著略顯興奮的神情上了公車，她現在可能還是覺得我是一個胖子
nil,不過應該不再是工具人了，不再是上下的關係，就是朋友
nil,那又如何？看著窗外流動的風景
nil,曾經見山是山，又見山不是山，如今身旁的路人就是路人，同學就即是同學
nil,過去覺得灰暗色調的風景，現今看起來，就是窗外的風景
AM 10:10,剛上課－教室內
nil,我進到教室，看著老師闡述著數學的公式原理
nil,但我腦中卻都還是跟吳孟的對話，這算是戀愛嗎？
nil,我隨意地跟身旁的人借了紙跟筆，忽略掉他的狐疑眼神
nil,開始抄寫黑板上的課程，我也不知道抄這些沒頭沒尾的要做什麼
nil,只是想要有一些改變，今天我只不過是剃了鬍子穿了正裝，人生就有了些改變
nil,我思考著這會不會又是我的另一個幻想，但我也覺得沒有任何損失
nil,下課後我還了還在滑手機同學筆，往凱翔走去
凱翔,你手上那是什麼，該不會是上課的筆記吧
我,沒啊，就想說無聊超一下，你等等要吃晚餐嗎？
凱翔,不，我今天有事情，但是你形跡非常詭異
凱翔,你今天是發生了什麼事情，偷摸女生屁股？
我,．．．．．．我的人格評價真的這麼低落嗎，好吧如果你沒有要跟我吃飯我就先走了
凱翔,你這樣很不投摸他機耶，好吧等之後有空妳再跟我說好了
我,好拉，我之後一定會跟你說
凱翔,幹～你怎麼都可以遇到好事情
PM 05:30,自家中
nil,整個晚上我都在整理自己的房間
nil,整理完後我躺在床上
我,好事　嗎？
nil,其實說真的，什麼事情都沒有發生，她說了她平常就都會在那邊吃早餐
nil,但也說了，不要天天尾隨她吃早餐，很噁心
nil,我在思考著自己怎麼樣才不會越陷越深，也慶幸著自己有這個煩惱可以思考
nil,我開始腦中趕快開始思考身旁的其他女生，思考著每一位的可能性
nil,也深深地想要砍死過去的自已，過去自己到底在幹什麼啊
nil,我又像智障一般的爬起來跑去旁邊做了幾次扶立挺身
nil,才做了五下就如同要死一般的爬回床上
我,看來還是得循序漸進，是嗎？
nil,我流了很多汗，思考著明天要不要去吃早餐，明天要穿什麼
nil,明天．．．．．．
